2016-10-17_13-39-34

,Creating agents: 1000,Using opinion dynamic: DEGROOT,Creating Social Network: Watts beta,Event Memory: 10 ,Objective Risk: 1.0E-4 
0,9.994164042659944E-5,2.918241727413151E-6,1.0499460332440555E-4,9.500492930242162E-5
1,1.0000850617196306E-4,2.2345537283135623E-6,1.0499460332440555E-4,9.502411009786465E-5
2,1.0004156449530259E-4,9.880860281393435E-7,1.0347321768079103E-4,9.505589329253303E-5
3,1.0005293828188723E-4,9.140737901663893E-7,1.0347321768079103E-4,9.505589329253303E-5
4,1.000000935613073E-4,5.180107476061757E-7,1.01710537328426E-4,9.742104559547595E-5
5,1.0004870775854909E-4,3.1704500361813783E-7,1.0091683185626696E-4,9.905042287280856E-5
6,1.0001975168308967E-4,2.3499450069350387E-7,1.0070774802655671E-4,9.923113059278139E-5
7,1.0002797210042363E-4,2.0171760336743786E-7,1.006269559047103E-4,9.929996212035669E-5
8,1.00032806712152E-4,1.6080188870083337E-7,1.0047615347333662E-4,9.950784729135998E-5
9,1.0003651343998525E-4,1.4277417451875427E-7,1.0047615347333662E-4,9.96002826643986E-5
10,1.0004067744473759E-4,1.222906744109669E-7,1.0043029658800242E-4,9.966710193715133E-5
11,1.0003728738335704E-4,8.791402044824437E-8,1.0033241877220814E-4,9.978632931361952E-5
12,1.0003943876389136E-4,7.071479913536129E-8,1.0026005014895821E-4,9.984971306465822E-5
13,1.0004169599124367E-4,6.459598306308403E-8,1.002496357044413E-4,9.98660222861277E-5
14,1.000414615253659E-4,5.249863812444468E-8,1.0019945732592171E-4,9.988405137901924E-5
15,1.000420136923053E-4,4.391407248979106E-8,1.0019870775637134E-4,9.991774838686137E-5
16,1.0004324342792439E-4,3.763676634523379E-8,1.0015400623659764E-4,9.993815000440956E-5
17,1.0004457573517081E-4,3.256631146381486E-8,1.0013996270309575E-4,9.996113618023294E-5
18,1.0004430580503655E-4,2.6443163068226075E-8,1.0013302957973723E-4,9.99815544036966E-5
19,1.0004449714579455E-4,2.4864209879366277E-8,1.0013302957973723E-4,9.998658446421882E-5
20,1.000452825456571E-4,1.859852570820288E-8,1.0011997260796776E-4,9.999932889500717E-5
21,1.0004543407899123E-4,1.7671823734122642E-8,1.0011997260796776E-4,1.0000366782342057E-4
22,1.0004585503712146E-4,1.3663848607118044E-8,1.0009087252271707E-4,1.0000928668858472E-4
23,1.0004587575985504E-4,1.3298241776242405E-8,1.0009087252271707E-4,1.0001406600145342E-4
24,1.0004576289383015E-4,1.1269017221821073E-8,1.0008383201389009E-4,1.000178648349164E-4
25,1.0004614700882126E-4,9.788061893631822E-9,1.000781378049637E-4,1.0002171416978151E-4
26,1.0004644280366923E-4,7.593708751118807E-9,1.000697584803435E-4,1.000306856113308E-4
27,1.0004644061159652E-4,7.3708803131340385E-9,1.0006905135720197E-4,1.0003165297434586E-4
28,1.0004645339634144E-4,5.590460424207975E-9,1.0006250655712642E-4,1.0003210796819631E-4
29,1.0004675679244062E-4,4.935581580084828E-9,1.00061867680676E-4,1.0003643616499633E-4
30,1.0004661829207408E-4,4.411656408613899E-9,1.00061867680676E-4,1.0003777301859106E-4,
 Job ended.,2016-10-17_13-39-36
